Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:0kQ2DTgR9iAkIKoeoIHfn9,c9cfa17b4e1443fba81ab98f5b33cf2c,2025-12-18T05:38:52Z,3,,d1250619c349456590ad9fe59e1020fc
spotify:track:1dK6cNOMYjEP3QGYOfwP6t,c9cfa17b4e1443fba81ab98f5b33cf2c,2025-12-18T05:38:52Z,2,,d1250619c349456590ad9fe59e1020fc
spotify:track:2w3ScXudq4aD3K5HFO5xvx,c9cfa17b4e1443fba81ab98f5b33cf2c,2025-12-18T05:38:52Z,2,,d1250619c349456590ad9fe59e1020fc
spotify:track:3RciEQxS7PxtLqMs7OwRsU,c9cfa17b4e1443fba81ab98f5b33cf2c,2025-12-18T05:38:52Z,4,,d1250619c349456590ad9fe59e1020fc
spotify:track:4UJmPSJsBsIR1U0N79BU1g,c9cfa17b4e1443fba81ab98f5b33cf2c,2025-12-18T05:38:52Z,2,,d1250619c349456590ad9fe59e1020fc
spotify:track:5JCoSi02qi3jJeHdZXMmR8,c9cfa17b4e1443fba81ab98f5b33cf2c,2025-12-18T05:38:52Z,1,,d1250619c349456590ad9fe59e1020fc
spotify:track:6qvtiA4wQQliK6K7oRdovk,c9cfa17b4e1443fba81ab98f5b33cf2c,2025-12-18T05:38:52Z,1,,d1250619c349456590ad9fe59e1020fc
spotify:track:0kQ2DTgR9iAkIKoeoIHfn9,dcc28e0cb1484913a81b2043ee1b3fb9,2025-12-18T08:49:51Z,1,,d1250619c349456590ad9fe59e1020fc
spotify:track:1dK6cNOMYjEP3QGYOfwP6t,dcc28e0cb1484913a81b2043ee1b3fb9,2025-12-18T08:49:51Z,1,,d1250619c349456590ad9fe59e1020fc
spotify:track:2w3ScXudq4aD3K5HFO5xvx,dcc28e0cb1484913a81b2043ee1b3fb9,2025-12-18T08:49:51Z,4,,d1250619c349456590ad9fe59e1020fc
spotify:track:3RciEQxS7PxtLqMs7OwRsU,dcc28e0cb1484913a81b2043ee1b3fb9,2025-12-18T08:49:51Z,3,,d1250619c349456590ad9fe59e1020fc
spotify:track:4cuKwDw7T3JELdePWwa3hZ,dcc28e0cb1484913a81b2043ee1b3fb9,2025-12-18T08:49:51Z,2,,d1250619c349456590ad9fe59e1020fc
spotify:track:5JCoSi02qi3jJeHdZXMmR8,dcc28e0cb1484913a81b2043ee1b3fb9,2025-12-18T08:49:51Z,3,,d1250619c349456590ad9fe59e1020fc
spotify:track:5MimWt53Ukh0gcv7mC0Rnx,dcc28e0cb1484913a81b2043ee1b3fb9,2025-12-18T08:49:51Z,1,,d1250619c349456590ad9fe59e1020fc
spotify:track:0kQ2DTgR9iAkIKoeoIHfn9,7c67a5a1dc45447dbe8663e3d0569caa,2025-12-18T21:51:34Z,1,,d1250619c349456590ad9fe59e1020fc
spotify:track:1dK6cNOMYjEP3QGYOfwP6t,7c67a5a1dc45447dbe8663e3d0569caa,2025-12-18T21:51:34Z,2,,d1250619c349456590ad9fe59e1020fc
spotify:track:1DPHu7wpXxF6XUHz2jKkN2,7c67a5a1dc45447dbe8663e3d0569caa,2025-12-18T21:51:34Z,2,,d1250619c349456590ad9fe59e1020fc
spotify:track:2w3ScXudq4aD3K5HFO5xvx,7c67a5a1dc45447dbe8663e3d0569caa,2025-12-18T21:51:34Z,3,,d1250619c349456590ad9fe59e1020fc
spotify:track:4cuKwDw7T3JELdePWwa3hZ,7c67a5a1dc45447dbe8663e3d0569caa,2025-12-18T21:51:34Z,2,,d1250619c349456590ad9fe59e1020fc
spotify:track:4UJmPSJsBsIR1U0N79BU1g,7c67a5a1dc45447dbe8663e3d0569caa,2025-12-18T21:51:34Z,1,"this is a cut, but is it a deep one?",d1250619c349456590ad9fe59e1020fc
spotify:track:5JCoSi02qi3jJeHdZXMmR8,7c67a5a1dc45447dbe8663e3d0569caa,2025-12-18T21:51:34Z,3,,d1250619c349456590ad9fe59e1020fc
spotify:track:6qvtiA4wQQliK6K7oRdovk,7c67a5a1dc45447dbe8663e3d0569caa,2025-12-18T21:51:34Z,1,,d1250619c349456590ad9fe59e1020fc
spotify:track:1dK6cNOMYjEP3QGYOfwP6t,e999240901ce4d76955dcfe00bf2f022,2025-12-19T00:25:08Z,3,I don't know a lot of Led Z and this is certainly not what I picture. Gives a folky vibe ,d1250619c349456590ad9fe59e1020fc
spotify:track:1DPHu7wpXxF6XUHz2jKkN2,e999240901ce4d76955dcfe00bf2f022,2025-12-19T00:25:08Z,1,,d1250619c349456590ad9fe59e1020fc
spotify:track:2w3ScXudq4aD3K5HFO5xvx,e999240901ce4d76955dcfe00bf2f022,2025-12-19T00:25:08Z,1,,d1250619c349456590ad9fe59e1020fc
spotify:track:3RciEQxS7PxtLqMs7OwRsU,e999240901ce4d76955dcfe00bf2f022,2025-12-19T00:25:08Z,1,,d1250619c349456590ad9fe59e1020fc
spotify:track:4cuKwDw7T3JELdePWwa3hZ,e999240901ce4d76955dcfe00bf2f022,2025-12-19T00:25:08Z,2,,d1250619c349456590ad9fe59e1020fc
spotify:track:4UJmPSJsBsIR1U0N79BU1g,e999240901ce4d76955dcfe00bf2f022,2025-12-19T00:25:08Z,3,I've never heard this one and not what I would expect. Really cool ,d1250619c349456590ad9fe59e1020fc
spotify:track:5JCoSi02qi3jJeHdZXMmR8,e999240901ce4d76955dcfe00bf2f022,2025-12-19T00:25:08Z,2,💕,d1250619c349456590ad9fe59e1020fc
spotify:track:5MimWt53Ukh0gcv7mC0Rnx,e999240901ce4d76955dcfe00bf2f022,2025-12-19T00:25:08Z,1,,d1250619c349456590ad9fe59e1020fc
spotify:track:6qvtiA4wQQliK6K7oRdovk,e999240901ce4d76955dcfe00bf2f022,2025-12-19T00:25:08Z,1,She's coool just not my fave song ,d1250619c349456590ad9fe59e1020fc
spotify:track:0kQ2DTgR9iAkIKoeoIHfn9,041d2dd0b7c346b3bcdc78eb2ebd17e6,2025-12-19T17:06:28Z,3,,d1250619c349456590ad9fe59e1020fc
spotify:track:1dK6cNOMYjEP3QGYOfwP6t,041d2dd0b7c346b3bcdc78eb2ebd17e6,2025-12-19T17:06:28Z,2,,d1250619c349456590ad9fe59e1020fc
spotify:track:2w3ScXudq4aD3K5HFO5xvx,041d2dd0b7c346b3bcdc78eb2ebd17e6,2025-12-19T17:06:28Z,4,,d1250619c349456590ad9fe59e1020fc
spotify:track:4cuKwDw7T3JELdePWwa3hZ,041d2dd0b7c346b3bcdc78eb2ebd17e6,2025-12-19T17:06:28Z,4,,d1250619c349456590ad9fe59e1020fc
spotify:track:4UJmPSJsBsIR1U0N79BU1g,041d2dd0b7c346b3bcdc78eb2ebd17e6,2025-12-19T17:06:28Z,0,This is one of my favorite nirvana songs <3. I just think it's too famous to be deep cut? Plus it's a cover.,d1250619c349456590ad9fe59e1020fc
spotify:track:5JCoSi02qi3jJeHdZXMmR8,041d2dd0b7c346b3bcdc78eb2ebd17e6,2025-12-19T17:06:28Z,2,,d1250619c349456590ad9fe59e1020fc
spotify:track:0kQ2DTgR9iAkIKoeoIHfn9,5be930fc97a44698abbc6cfafda5b2ae,2025-12-19T19:51:17Z,4,,d1250619c349456590ad9fe59e1020fc
spotify:track:1dK6cNOMYjEP3QGYOfwP6t,5be930fc97a44698abbc6cfafda5b2ae,2025-12-19T19:51:17Z,2,,d1250619c349456590ad9fe59e1020fc
spotify:track:3RciEQxS7PxtLqMs7OwRsU,5be930fc97a44698abbc6cfafda5b2ae,2025-12-19T19:51:17Z,3,,d1250619c349456590ad9fe59e1020fc
spotify:track:4cuKwDw7T3JELdePWwa3hZ,5be930fc97a44698abbc6cfafda5b2ae,2025-12-19T19:51:17Z,1,,d1250619c349456590ad9fe59e1020fc
spotify:track:4UJmPSJsBsIR1U0N79BU1g,5be930fc97a44698abbc6cfafda5b2ae,2025-12-19T19:51:17Z,1,,d1250619c349456590ad9fe59e1020fc
spotify:track:5JCoSi02qi3jJeHdZXMmR8,5be930fc97a44698abbc6cfafda5b2ae,2025-12-19T19:51:17Z,3,,d1250619c349456590ad9fe59e1020fc
spotify:track:6qvtiA4wQQliK6K7oRdovk,5be930fc97a44698abbc6cfafda5b2ae,2025-12-19T19:51:17Z,1,,d1250619c349456590ad9fe59e1020fc
spotify:track:1dK6cNOMYjEP3QGYOfwP6t,b3dfab17cc1e4751b56296dd32ed7b12,2025-12-19T23:54:31Z,2,,d1250619c349456590ad9fe59e1020fc
spotify:track:1DPHu7wpXxF6XUHz2jKkN2,b3dfab17cc1e4751b56296dd32ed7b12,2025-12-19T23:54:31Z,2,,d1250619c349456590ad9fe59e1020fc
spotify:track:2w3ScXudq4aD3K5HFO5xvx,b3dfab17cc1e4751b56296dd32ed7b12,2025-12-19T23:54:31Z,2,,d1250619c349456590ad9fe59e1020fc
spotify:track:3RciEQxS7PxtLqMs7OwRsU,b3dfab17cc1e4751b56296dd32ed7b12,2025-12-19T23:54:31Z,2,,d1250619c349456590ad9fe59e1020fc
spotify:track:4cuKwDw7T3JELdePWwa3hZ,b3dfab17cc1e4751b56296dd32ed7b12,2025-12-19T23:54:31Z,2,,d1250619c349456590ad9fe59e1020fc
spotify:track:4UJmPSJsBsIR1U0N79BU1g,b3dfab17cc1e4751b56296dd32ed7b12,2025-12-19T23:54:31Z,1,,d1250619c349456590ad9fe59e1020fc
spotify:track:5MimWt53Ukh0gcv7mC0Rnx,b3dfab17cc1e4751b56296dd32ed7b12,2025-12-19T23:54:31Z,2,,d1250619c349456590ad9fe59e1020fc
spotify:track:6qvtiA4wQQliK6K7oRdovk,b3dfab17cc1e4751b56296dd32ed7b12,2025-12-19T23:54:31Z,2,,d1250619c349456590ad9fe59e1020fc
spotify:track:0kQ2DTgR9iAkIKoeoIHfn9,2c50a279a7434625875744cd926951b5,2025-12-20T10:59:14Z,2,Always love listening to her voice. ,d1250619c349456590ad9fe59e1020fc
spotify:track:1DPHu7wpXxF6XUHz2jKkN2,2c50a279a7434625875744cd926951b5,2025-12-20T10:59:14Z,2,,d1250619c349456590ad9fe59e1020fc
spotify:track:2w3ScXudq4aD3K5HFO5xvx,2c50a279a7434625875744cd926951b5,2025-12-20T10:59:14Z,2,Is Stevie the biggest baddie on this list? Or Lauryn Hill? There are at least 4 legitimate options (not counting Olivia cause she hasn't been around long enough). Grrrl power am I right? ,d1250619c349456590ad9fe59e1020fc
spotify:track:3RciEQxS7PxtLqMs7OwRsU,2c50a279a7434625875744cd926951b5,2025-12-20T10:59:14Z,2,,d1250619c349456590ad9fe59e1020fc
