Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:3Zwu2K0Qa5sT6teCCHPShP,d9e3a4c6faba4ddf85e1dd07b1522909,2025-08-01T23:40:01Z,1,,0716be7552f548e5b200927ea345a5c9
spotify:track:5HOpkTTVcmZHnthgyxrIL8,d9e3a4c6faba4ddf85e1dd07b1522909,2025-08-01T23:40:01Z,4,,0716be7552f548e5b200927ea345a5c9
spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,d9e3a4c6faba4ddf85e1dd07b1522909,2025-08-01T23:40:01Z,7,,0716be7552f548e5b200927ea345a5c9
spotify:track:7LcfRTgAVTs5pQGEQgUEzN,d9e3a4c6faba4ddf85e1dd07b1522909,2025-08-01T23:40:01Z,2,,0716be7552f548e5b200927ea345a5c9
spotify:track:7MXVkk9YMctZqd1Srtv4MB,d9e3a4c6faba4ddf85e1dd07b1522909,2025-08-01T23:40:01Z,1,,0716be7552f548e5b200927ea345a5c9
spotify:track:0c6xIDDpzE81m2q797ordA,b589b2aac2a54464ac640775a7e686d1,2025-08-01T23:43:27Z,2,,0716be7552f548e5b200927ea345a5c9
spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,b589b2aac2a54464ac640775a7e686d1,2025-08-01T23:43:27Z,5,,0716be7552f548e5b200927ea345a5c9
spotify:track:7LcfRTgAVTs5pQGEQgUEzN,b589b2aac2a54464ac640775a7e686d1,2025-08-01T23:43:27Z,2,,0716be7552f548e5b200927ea345a5c9
spotify:track:7lWUJpax919G4JdaFEVmCy,b589b2aac2a54464ac640775a7e686d1,2025-08-01T23:43:27Z,3,,0716be7552f548e5b200927ea345a5c9
spotify:track:7MXVkk9YMctZqd1Srtv4MB,b589b2aac2a54464ac640775a7e686d1,2025-08-01T23:43:27Z,3,,0716be7552f548e5b200927ea345a5c9
spotify:track:0c6xIDDpzE81m2q797ordA,a12befea5b914fbf84f0330d4d151de5,2025-08-02T03:12:39Z,2,The video gets my vote ,0716be7552f548e5b200927ea345a5c9
spotify:track:0CAfXk7DXMnon4gLudAp7J,a12befea5b914fbf84f0330d4d151de5,2025-08-02T03:12:39Z,2,,0716be7552f548e5b200927ea345a5c9
spotify:track:3Zwu2K0Qa5sT6teCCHPShP,a12befea5b914fbf84f0330d4d151de5,2025-08-02T03:12:39Z,1,,0716be7552f548e5b200927ea345a5c9
spotify:track:5HOpkTTVcmZHnthgyxrIL8,a12befea5b914fbf84f0330d4d151de5,2025-08-02T03:12:39Z,2,Didn’t expect to like this based on the title ,0716be7552f548e5b200927ea345a5c9
spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,a12befea5b914fbf84f0330d4d151de5,2025-08-02T03:12:39Z,3,Embarrassed? I don’t think so ,0716be7552f548e5b200927ea345a5c9
